Experiment_ID,Architecture,Optimizer,Epochs,Activation,Scheduler,Loss_Function,Noise_Level,Data_Points,weigthed,Execution_Time(s),Final_Total_Loss,Final_Physics_Loss,Final_Data_Loss,Final_BC_Loss,MAE,L2_Error,True_K,Estimated_K,Rel_Error_K
Poisson_Inverse_GELU_N10_P500_Bal,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,GELU,None,MSE,0.1,500,True,83.31656098365784,2.7412766003490856e-05,4.731964018677969e-06,2.1540330860698614e-05,1.1404711241142743e-06,6.746079487173332,0.021928453892213262,1.0,0.9822344757327123,1.7765524267287724
Poisson_Inverse_SiLU_N0_P50_Std,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,SiLU,None,MSE,0.0,50,False,94.97694134712219,4.12573910228282e-06,3.0117569220992857e-06,1.2633929883559933e-07,9.876428813479348e-07,7.624408165362053,0.021314107162389503,1.0,1.0046704898716103,0.46704898716103393
Poisson_Inverse_SiLU_N0_P50_Bal,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,SiLU,None,MSE,0.0,50,True,96.14027881622314,2.3717701686898347e-06,1.4826760793182097e-06,4.578454686962321e-08,8.433095425020018e-07,5.920671575336811,0.018048095620088443,1.0,0.989477188498138,1.0522811501861962
Poisson_Inverse_SiLU_N0_P100_Std,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,SiLU,None,MSE,0.0,100,False,95.90528750419617,3.0965835949789928e-06,1.9855670568355307e-06,1.2092191362130513e-07,9.900946245221569e-07,6.8767007670708775,0.02015946015901441,1.0,0.9783035189991748,2.169648100082522
Poisson_Inverse_SiLU_N0_P100_Bal,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,SiLU,None,MSE,0.0,100,True,92.01289510726929,3.562601687008691e-05,3.2214117658054124e-05,4.481631850410921e-07,2.9637360269916983e-06,13.260976481263423,0.03761227130670384,1.0,1.0342806013465922,3.4280601346592166
Poisson_Inverse_SiLU_N0_P500_Std,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,SiLU,None,MSE,0.0,500,False,95.85604977607727,4.856932240377522e-06,3.446058071703463e-06,1.9662306757309696e-07,1.2142511011009616e-06,7.8580684759932655,0.022206503349156397,1.0,0.9954676272090477,0.45323727909523104
Poisson_Inverse_SiLU_N0_P500_Bal,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,SiLU,None,MSE,0.0,500,True,91.91116881370544,9.017738590201635e-06,6.397122688327634e-06,3.2586620560046636e-07,2.294749696273534e-06,11.29879654513358,0.02995029437419217,1.0,0.980152668424592,1.9847331575407967
Poisson_Inverse_SiLU_N1_P50_Std,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,SiLU,None,MSE,0.01,50,False,94.43137288093567,3.198784410023944e-05,3.0187373682556524e-05,4.34352744469505e-07,1.3661176732134104e-06,8.994599192023184,0.027327612915239066,1.0,1.022539387310138,2.253938731013805
Poisson_Inverse_SiLU_N1_P50_Bal,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,SiLU,None,MSE,0.01,50,True,96.2382800579071,4.838060777976659e-06,1.9264711113356326e-06,3.7152616002280534e-07,2.5400635066182214e-06,9.63203794266767,0.031039360856331494,1.0,0.9733662551416072,2.663374485839276
Poisson_Inverse_SiLU_N1_P100_Std,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,SiLU,None,MSE,0.01,100,False,93.14948678016663,1.8834201976035624e-05,1.8170637440834448e-05,2.866425728498866e-07,3.769219623512883e-07,5.124074171375591,0.01445324320644441,1.0,1.002168859741818,0.21688597418179079
Poisson_Inverse_SiLU_N1_P100_Bal,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,SiLU,None,MSE,0.01,100,True,91.5579469203949,1.660244728610431e-05,1.5493873823078524e-05,3.165671771044694e-07,7.920062859213186e-07,7.8933904310508245,0.019238222852594692,1.0,0.9977624182136069,0.22375817863931058
Poisson_Inverse_SiLU_N1_P500_Std,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,SiLU,None,MSE,0.01,500,False,92.18185615539551,6.07778013625145e-06,5.380234420266492e-06,3.341937690037029e-07,3.63351946981255e-07,6.319245563031925,0.012812229157072043,1.0,1.000086838990534,0.008683899053396615
Poisson_Inverse_SiLU_N1_P500_Bal,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,SiLU,None,MSE,0.01,500,True,94.14413976669312,4.815731389354724e-06,3.0500984375067726e-06,4.4466195453019885e-07,1.3209709973177526e-06,8.011766369349116,0.022423379515443622,1.0,0.9826572106996645,1.7342789300335504
